block,router_txs,failed_txs,rejection_rate
19000000,4,1,0.25
19000001,2,1,0.5
19000002,1,0,0.0
19000003,0,0,0.0
19000004,3,0,0.0
19000005,7,1,0.14285714285714285
19000006,4,0,0.0
19000007,0,0,0.0
19000008,1,1,1.0
19000009,1,0,0.0
19000010,1,0,0.0
19000011,1,0,0.0
19000012,2,0,0.0
19000013,1,0,0.0
19000014,1,0,0.0
19000015,0,0,0.0
19000016,1,0,0.0
19000017,1,0,0.0
19000018,1,0,0.0
19000019,2,0,0.0
19000020,1,0,0.0
19000021,2,0,0.0
19000022,2,0,0.0
19000023,2,0,0.0
19000024,3,0,0.0
19000025,1,0,0.0
19000026,1,0,0.0
19000027,1,1,1.0
19000028,2,0,0.0
19000029,3,0,0.0
19000030,0,0,0.0
19000031,0,0,0.0
19000032,2,0,0.0
19000033,3,0,0.0
19000034,1,0,0.0
19000035,1,0,0.0
19000036,3,0,0.0
19000037,3,0,0.0
19000038,4,0,0.0
19000039,2,1,0.5
19000040,2,0,0.0
19000041,2,0,0.0
19000042,3,0,0.0
19000043,1,0,0.0
19000044,4,1,0.25
19000045,2,0,0.0
19000046,3,0,0.0
19000047,1,0,0.0
19000048,3,1,0.3333333333333333
19000049,2,0,0.0
19000050,2,1,0.5
19000051,0,0,0.0
19000052,0,0,0.0
19000053,2,2,1.0
19000054,1,0,0.0
19000055,2,1,0.5
19000056,2,0,0.0
19000057,1,0,0.0
19000058,2,0,0.0
19000059,2,0,0.0
19000060,1,0,0.0
19000061,1,0,0.0
19000062,1,0,0.0
19000063,2,0,0.0
19000064,3,0,0.0
19000065,2,0,0.0
19000066,0,0,0.0
19000067,3,1,0.3333333333333333
19000068,2,0,0.0
19000069,0,0,0.0
19000070,0,0,0.0
19000071,2,0,0.0
19000072,2,0,0.0
19000073,1,0,0.0
19000074,4,1,0.25
19000075,1,0,0.0
19000076,1,0,0.0
19000077,4,0,0.0
19000078,2,0,0.0
19000079,1,0,0.0
19000080,2,0,0.0
19000081,0,0,0.0
19000082,0,0,0.0
19000083,0,0,0.0
19000084,1,0,0.0
19000085,1,1,1.0
19000086,2,0,0.0
19000087,1,1,1.0
19000088,1,0,0.0
19000089,2,0,0.0
19000090,3,0,0.0
19000091,0,0,0.0
19000092,25,0,0.0
19000093,2,0,0.0
19000094,3,0,0.0
19000095,1,0,0.0
19000096,1,0,0.0
19000097,1,0,0.0
19000098,2,0,0.0
19000099,0,0,0.0
19000100,0,0,0.0
19000101,1,0,0.0
19000102,1,1,1.0
19000103,3,0,0.0
19000104,1,0,0.0
19000105,2,1,0.5
19000106,0,0,0.0
19000107,0,0,0.0
19000108,1,0,0.0
19000109,4,0,0.0
19000110,1,0,0.0
19000111,2,2,1.0
19000112,3,0,0.0
19000113,2,0,0.0
19000114,0,0,0.0
19000115,0,0,0.0
19000116,6,1,0.16666666666666666
19000117,3,0,0.0
19000118,1,1,1.0
19000119,2,1,0.5
19000120,0,0,0.0
19000121,2,1,0.5
19000122,5,1,0.2
19000123,3,0,0.0
19000124,2,0,0.0
19000125,4,0,0.0
19000126,1,0,0.0
19000127,2,0,0.0
19000128,2,1,0.5
19000129,0,0,0.0
19000130,0,0,0.0
19000131,1,0,0.0
19000132,1,0,0.0
19000133,2,0,0.0
19000134,1,0,0.0
19000135,1,1,1.0
19000136,2,1,0.5
19000137,1,0,0.0
19000138,2,0,0.0
19000139,3,1,0.3333333333333333
19000140,0,0,0.0
19000141,4,0,0.0
19000142,0,0,0.0
19000143,0,0,0.0
19000144,0,0,0.0
19000145,0,0,0.0
19000146,2,0,0.0
19000147,1,0,0.0
19000148,5,0,0.0
19000149,1,1,1.0
19000150,4,1,0.25
19000151,1,0,0.0
19000152,0,0,0.0
19000153,0,0,0.0
19000154,3,1,0.3333333333333333
19000155,2,0,0.0
19000156,0,0,0.0
19000157,1,0,0.0
19000158,1,0,0.0
19000159,2,0,0.0
19000160,3,1,0.3333333333333333
19000161,0,0,0.0
19000162,0,0,0.0
19000163,1,0,0.0
19000164,0,0,0.0
19000165,1,0,0.0
19000166,0,0,0.0
19000167,0,0,0.0
19000168,0,0,0.0
19000169,2,0,0.0
19000170,2,1,0.5
19000171,0,0,0.0
19000172,1,1,1.0
19000173,2,0,0.0
19000174,0,0,0.0
19000175,0,0,0.0
19000176,1,0,0.0
19000177,1,0,0.0
19000178,1,0,0.0
19000179,2,1,0.5
19000180,1,0,0.0
19000181,3,0,0.0
19000182,0,0,0.0
19000183,4,0,0.0
19000184,2,0,0.0
19000185,2,1,0.5
19000186,2,0,0.0
19000187,1,0,0.0
19000188,1,1,1.0
19000189,1,0,0.0
19000190,0,0,0.0
19000191,1,0,0.0
19000192,2,0,0.0
19000193,2,0,0.0
19000194,0,0,0.0
19000195,0,0,0.0
19000196,3,1,0.3333333333333333
19000197,2,0,0.0
19000198,1,0,0.0
19000199,0,0,0.0
19000200,1,0,0.0
19000201,3,1,0.3333333333333333
19000202,2,1,0.5
19000203,3,0,0.0
19000204,1,0,0.0
19000205,1,0,0.0
19000206,0,0,0.0
19000207,3,0,0.0
19000208,1,0,0.0
19000209,4,1,0.25
19000210,4,0,0.0
19000211,3,0,0.0
19000212,1,0,0.0
19000213,2,0,0.0
19000214,1,0,0.0
19000215,1,1,1.0
19000216,3,0,0.0
19000217,1,0,0.0
19000218,1,0,0.0
19000219,0,0,0.0
19000220,1,0,0.0
19000221,1,0,0.0
19000222,1,0,0.0
19000223,2,0,0.0
19000224,0,0,0.0
19000225,3,0,0.0
19000226,1,0,0.0
19000227,2,0,0.0
19000228,1,0,0.0
19000229,3,0,0.0
19000230,2,0,0.0
19000231,0,0,0.0
19000232,0,0,0.0
19000233,0,0,0.0
19000234,4,0,0.0
19000235,0,0,0.0
19000236,1,0,0.0
19000237,0,0,0.0
19000238,1,0,0.0
19000239,2,1,0.5
19000240,2,0,0.0
19000241,5,2,0.4
19000242,4,2,0.5
19000243,1,0,0.0
19000244,2,0,0.0
19000245,1,0,0.0
19000246,0,0,0.0
19000247,0,0,0.0
19000248,5,3,0.6
19000249,3,0,0.0
19000250,2,0,0.0
19000251,3,1,0.3333333333333333
19000252,0,0,0.0
19000253,1,0,0.0
19000254,1,0,0.0
19000255,3,0,0.0
19000256,1,0,0.0
19000257,0,0,0.0
19000258,2,0,0.0
19000259,1,0,0.0
19000260,0,0,0.0
19000261,0,0,0.0
19000262,4,1,0.25
19000263,2,1,0.5
19000264,11,1,0.09090909090909091
19000265,4,0,0.0
19000266,2,0,0.0
19000267,2,0,0.0
19000268,0,0,0.0
19000269,1,0,0.0
19000270,2,0,0.0
19000271,1,0,0.0
19000272,2,0,0.0
19000273,13,0,0.0
19000274,0,0,0.0
19000275,1,0,0.0
19000276,2,0,0.0
19000277,1,0,0.0
19000278,0,0,0.0
19000279,1,0,0.0
19000280,5,0,0.0
19000281,1,0,0.0
19000282,2,0,0.0
19000283,2,0,0.0
19000284,2,1,0.5
19000285,2,1,0.5
19000286,1,0,0.0
19000287,2,0,0.0
19000288,0,0,0.0
19000289,3,0,0.0
19000290,3,0,0.0
19000291,1,0,0.0
19000292,0,0,0.0
19000293,5,0,0.0
19000294,2,0,0.0
19000295,1,0,0.0
19000296,2,0,0.0
19000297,3,1,0.3333333333333333
19000298,1,0,0.0
19000299,2,1,0.5
19000300,4,0,0.0
19000301,0,0,0.0
19000302,1,0,0.0
19000303,0,0,0.0
19000304,1,0,0.0
19000305,2,0,0.0
19000306,1,0,0.0
19000307,0,0,0.0
19000308,2,0,0.0
19000309,1,0,0.0
19000310,1,0,0.0
19000311,1,0,0.0
19000312,0,0,0.0
19000313,1,0,0.0
19000314,0,0,0.0
19000315,0,0,0.0
19000316,2,1,0.5
19000317,1,0,0.0
19000318,4,0,0.0
19000319,2,0,0.0
19000320,0,0,0.0
19000321,1,0,0.0
19000322,0,0,0.0
19000323,1,0,0.0
19000324,1,0,0.0
19000325,1,0,0.0
19000326,1,1,1.0
19000327,0,0,0.0
19000328,1,0,0.0
19000329,2,0,0.0
19000330,0,0,0.0
19000331,1,1,1.0
19000332,2,0,0.0
19000333,1,0,0.0
19000334,1,0,0.0
19000335,1,0,0.0
19000336,0,0,0.0
19000337,1,0,0.0
19000338,0,0,0.0
19000339,0,0,0.0
19000340,2,0,0.0
19000341,4,0,0.0
19000342,0,0,0.0
19000343,1,0,0.0
19000344,0,0,0.0
19000345,0,0,0.0
19000346,1,0,0.0
19000347,3,0,0.0
19000348,0,0,0.0
19000349,0,0,0.0
19000350,0,0,0.0
19000351,4,0,0.0
19000352,1,0,0.0
19000353,4,0,0.0
19000354,1,0,0.0
19000355,1,1,1.0
19000356,0,0,0.0
19000357,1,0,0.0
19000358,0,0,0.0
19000359,3,0,0.0
19000360,1,0,0.0
19000361,3,0,0.0
19000362,1,0,0.0
19000363,0,0,0.0
19000364,1,0,0.0
19000365,1,0,0.0
19000366,1,0,0.0
19000367,1,1,1.0
19000368,1,0,0.0
19000369,2,1,0.5
19000370,1,1,1.0
19000371,2,0,0.0
19000372,1,0,0.0
19000373,2,1,0.5
19000374,1,0,0.0
19000375,1,0,0.0
19000376,1,0,0.0
19000377,3,0,0.0
19000378,0,0,0.0
19000379,2,0,0.0
19000380,3,0,0.0
19000381,2,0,0.0
19000382,0,0,0.0
19000383,2,0,0.0
19000384,1,0,0.0
19000385,2,0,0.0
19000386,3,0,0.0
19000387,0,0,0.0
19000388,1,0,0.0
19000389,0,0,0.0
19000390,0,0,0.0
19000391,1,0,0.0
19000392,1,0,0.0
19000393,1,0,0.0
19000394,0,0,0.0
19000395,2,0,0.0
19000396,0,0,0.0
19000397,5,0,0.0
19000398,2,0,0.0
19000399,1,0,0.0
19000400,1,0,0.0
19000401,1,0,0.0
19000402,1,0,0.0
19000403,0,0,0.0
19000404,0,0,0.0
19000405,0,0,0.0
19000406,0,0,0.0
19000407,2,0,0.0
19000408,1,0,0.0
19000409,0,0,0.0
19000410,0,0,0.0
19000411,5,0,0.0
19000412,0,0,0.0
19000413,2,0,0.0
19000414,4,2,0.5
19000415,1,0,0.0
19000416,1,0,0.0
19000417,2,0,0.0
19000418,0,0,0.0
19000419,2,0,0.0
19000420,2,0,0.0
19000421,0,0,0.0
19000422,3,0,0.0
19000423,4,0,0.0
19000424,1,0,0.0
19000425,2,0,0.0
19000426,3,1,0.3333333333333333
19000427,2,0,0.0
19000428,0,0,0.0
19000429,1,0,0.0
19000430,0,0,0.0
19000431,3,0,0.0
19000432,0,0,0.0
19000433,3,0,0.0
19000434,2,1,0.5
19000435,0,0,0.0
19000436,3,0,0.0
19000437,1,0,0.0
19000438,2,0,0.0
19000439,2,0,0.0
19000440,1,0,0.0
19000441,0,0,0.0
19000442,1,0,0.0
19000443,5,1,0.2
19000444,0,0,0.0
19000445,0,0,0.0
19000446,5,1,0.2
19000447,1,0,0.0
19000448,1,0,0.0
19000449,2,0,0.0
19000450,1,0,0.0
19000451,0,0,0.0
19000452,6,1,0.16666666666666666
19000453,4,1,0.25
19000454,0,0,0.0
19000455,1,0,0.0
19000456,0,0,0.0
19000457,1,0,0.0
19000458,6,2,0.3333333333333333
19000459,2,0,0.0
19000460,2,1,0.5
19000461,0,0,0.0
19000462,0,0,0.0
19000463,0,0,0.0
19000464,1,0,0.0
19000465,0,0,0.0
19000466,2,1,0.5
19000467,1,0,0.0
19000468,3,0,0.0
19000469,0,0,0.0
19000470,0,0,0.0
19000471,1,0,0.0
19000472,2,1,0.5
19000473,0,0,0.0
19000474,0,0,0.0
19000475,0,0,0.0
19000476,2,1,0.5
19000477,0,0,0.0
19000478,1,1,1.0
19000479,0,0,0.0
19000480,1,1,1.0
19000481,2,1,0.5
19000482,1,1,1.0
19000483,2,1,0.5
19000484,5,0,0.0
19000485,42,0,0.0
19000486,40,0,0.0
19000487,2,0,0.0
19000488,2,1,0.5
19000489,1,0,0.0
19000490,1,0,0.0
19000491,2,0,0.0
19000492,0,0,0.0
19000493,3,0,0.0
19000494,2,0,0.0
19000495,2,1,0.5
19000496,1,0,0.0
19000497,0,0,0.0
19000498,1,0,0.0
19000499,1,0,0.0
19000500,1,0,0.0
19000501,0,0,0.0
19000502,3,0,0.0
19000503,1,0,0.0
19000504,0,0,0.0
19000505,1,0,0.0
19000506,2,1,0.5
19000507,1,0,0.0
19000508,1,0,0.0
19000509,2,0,0.0
19000510,1,0,0.0
19000511,1,0,0.0
19000512,1,0,0.0
19000513,2,1,0.5
19000514,1,0,0.0
19000515,3,0,0.0
19000516,1,0,0.0
19000517,1,0,0.0
19000518,0,0,0.0
19000519,0,0,0.0
19000520,0,0,0.0
19000521,0,0,0.0
19000522,1,0,0.0
19000523,2,1,0.5
19000524,0,0,0.0
19000525,1,0,0.0
19000526,0,0,0.0
19000527,1,0,0.0
19000528,0,0,0.0
19000529,2,0,0.0
19000530,1,0,0.0
19000531,0,0,0.0
19000532,1,0,0.0
19000533,3,2,0.6666666666666666
19000534,0,0,0.0
19000535,1,0,0.0
19000536,0,0,0.0
19000537,0,0,0.0
19000538,0,0,0.0
19000539,2,1,0.5
19000540,0,0,0.0
19000541,2,0,0.0
19000542,1,0,0.0
19000543,2,0,0.0
19000544,0,0,0.0
19000545,0,0,0.0
19000546,0,0,0.0
19000547,1,0,0.0
19000548,0,0,0.0
19000549,0,0,0.0
19000550,1,0,0.0
19000551,2,1,0.5
19000552,1,0,0.0
19000553,1,0,0.0
19000554,0,0,0.0
19000555,3,0,0.0
19000556,1,0,0.0
19000557,2,0,0.0
19000558,0,0,0.0
19000559,0,0,0.0
19000560,0,0,0.0
19000561,2,0,0.0
19000562,0,0,0.0
19000563,1,0,0.0
19000564,4,0,0.0
19000565,3,0,0.0
19000566,1,0,0.0
19000567,5,1,0.2
19000568,0,0,0.0
19000569,2,0,0.0
19000570,0,0,0.0
19000571,4,1,0.25
19000572,5,1,0.2
19000573,3,0,0.0
19000574,0,0,0.0
19000575,0,0,0.0
19000576,0,0,0.0
19000577,0,0,0.0
19000578,0,0,0.0
19000579,3,1,0.3333333333333333
19000580,2,0,0.0
19000581,1,0,0.0
19000582,4,0,0.0
19000583,0,0,0.0
19000584,4,2,0.5
19000585,1,1,1.0
19000586,3,1,0.3333333333333333
19000587,4,1,0.25
19000588,0,0,0.0
19000589,1,0,0.0
19000590,4,1,0.25
19000591,1,0,0.0
19000592,0,0,0.0
19000593,0,0,0.0
19000594,2,0,0.0
19000595,0,0,0.0
19000596,0,0,0.0
19000597,3,0,0.0
19000598,2,0,0.0
19000599,0,0,0.0
19000600,2,0,0.0
19000601,3,0,0.0
19000602,0,0,0.0
19000603,0,0,0.0
19000604,1,0,0.0
19000605,0,0,0.0
19000606,2,0,0.0
19000607,0,0,0.0
19000608,1,0,0.0
19000609,1,0,0.0
19000610,2,0,0.0
19000611,1,0,0.0
19000612,1,0,0.0
19000613,1,0,0.0
19000614,0,0,0.0
19000615,0,0,0.0
19000616,1,0,0.0
19000617,1,0,0.0
19000618,2,0,0.0
19000619,2,1,0.5
19000620,0,0,0.0
19000621,2,0,0.0
19000622,1,0,0.0
19000623,3,0,0.0
19000624,1,0,0.0
19000625,1,0,0.0
19000626,4,1,0.25
19000627,1,0,0.0
19000628,0,0,0.0
19000629,1,0,0.0
19000630,0,0,0.0
19000631,0,0,0.0
19000632,2,0,0.0
19000633,1,0,0.0
19000634,1,0,0.0
19000635,0,0,0.0
19000636,3,1,0.3333333333333333
19000637,3,0,0.0
19000638,1,0,0.0
19000639,0,0,0.0
19000640,0,0,0.0
19000641,1,0,0.0
19000642,3,0,0.0
19000643,3,0,0.0
19000644,0,0,0.0
19000645,0,0,0.0
19000646,0,0,0.0
19000647,0,0,0.0
19000648,2,0,0.0
19000649,2,0,0.0
19000650,1,1,1.0
19000651,2,1,0.5
19000652,2,2,1.0
19000653,3,1,0.3333333333333333
19000654,4,2,0.5
19000655,1,0,0.0
19000656,0,0,0.0
19000657,2,1,0.5
19000658,5,0,0.0
19000659,0,0,0.0
19000660,4,0,0.0
19000661,0,0,0.0
19000662,0,0,0.0
19000663,1,0,0.0
19000664,1,0,0.0
19000665,3,1,0.3333333333333333
19000666,4,1,0.25
19000667,8,0,0.0
19000668,4,0,0.0
19000669,2,1,0.5
19000670,1,0,0.0
19000671,1,0,0.0
19000672,3,0,0.0
19000673,0,0,0.0
19000674,1,0,0.0
19000675,3,0,0.0
19000676,0,0,0.0
19000677,1,0,0.0
19000678,3,0,0.0
19000679,4,0,0.0
19000680,1,0,0.0
19000681,3,0,0.0
19000682,1,0,0.0
19000683,1,0,0.0
19000684,0,0,0.0
19000685,1,0,0.0
19000686,13,0,0.0
19000687,0,0,0.0
19000688,0,0,0.0
19000689,0,0,0.0
19000690,1,0,0.0
19000691,2,0,0.0
19000692,1,0,0.0
19000693,1,0,0.0
19000694,0,0,0.0
19000695,0,0,0.0
19000696,2,0,0.0
19000697,2,0,0.0
19000698,1,0,0.0
19000699,1,0,0.0
19000700,1,0,0.0
19000701,3,1,0.3333333333333333
19000702,0,0,0.0
19000703,1,0,0.0
19000704,1,1,1.0
19000705,1,0,0.0
19000706,0,0,0.0
19000707,0,0,0.0
19000708,1,0,0.0
19000709,1,0,0.0
19000710,0,0,0.0
19000711,2,0,0.0
19000712,2,1,0.5
19000713,2,1,0.5
19000714,7,0,0.0
19000715,4,0,0.0
19000716,3,0,0.0
19000717,2,0,0.0
19000718,1,0,0.0
19000719,2,0,0.0
19000720,0,0,0.0
19000721,0,0,0.0
19000722,2,0,0.0
19000723,0,0,0.0
19000724,2,0,0.0
19000725,1,0,0.0
19000726,0,0,0.0
19000727,2,1,0.5
19000728,0,0,0.0
19000729,2,0,0.0
19000730,1,0,0.0
19000731,0,0,0.0
19000732,1,0,0.0
19000733,1,0,0.0
19000734,1,1,1.0
19000735,1,0,0.0
19000736,2,1,0.5
19000737,2,0,0.0
