block,timestamp,v2_usdc,v2_eth,price_v2,v3_005_usdc,v3_005_eth,price_v3_005,v3_03_usdc,v3_03_eth,price_v3_03
19000001,1705173455,49422848.731754,19269.708359789216,2564.794848420561,105712388.732375,11833.671988531853,2563.524519513015,44624721.247691,13228.419967437125,2563.858237826599
19000013,1705173599,49417736.797147,19271.707680520267,2564.2635108614772,105659897.061858,11854.224473853106,2563.040805148399,44624721.247691,13228.419967437125,2563.858237826599
19000014,1705173611,49417736.797147,19271.707680520267,2564.2635108614772,105652812.270166,11856.990105130873,2562.9757525972095,44624721.247691,13228.419967437125,2563.858237826599
19000062,1705174187,49446004.034448,19260.72468464416,2567.193334831758,106691133.502025,11452.902805340455,2572.561493566226,44737771.342661,13184.489031053161,2566.6793546694616
19000067,1705174247,49446004.034448,19260.72468464416,2567.193334831758,106865106.085351,11385.331624189474,2574.1746822744494,44737771.342661,13184.489031053161,2566.6793546694616
19000113,1705174799,49459990.354056,19255.299408795447,2568.64301634612,106999844.814836,11329.378622427232,2575.5113408382617,44862830.161617,13135.955636638337,2569.8004707469427
19000115,1705174823,49460324.631092,19255.169662483055,2568.677684905625,106999844.814836,11329.378622427232,2575.5113408382617,44862830.161617,13135.955636638337,2569.8004707469427
19000162,1705175387,49487513.91708,19244.62702665683,2571.497688603267,106955399.409037,11346.725953557538,2575.0965447631474,44900123.544355,13121.489623458876,2570.7317184411672
19000164,1705175411,49487513.91708,19244.62702665683,2571.497688603267,107076632.339156,11299.688715889693,2576.224766839242,44900123.544355,13121.489623458876,2570.7317184411672
19000212,1705175987,49487965.906041,19244.476175150834,2571.541332465139,106530343.201568,11512.066875176039,2571.138466519183,44896745.954307,13122.807461889859,2570.6471163743113
19000214,1705176011,49487965.906041,19244.476175150834,2571.541332465139,106795064.457087,11409.208848221255,2573.601902223252,44896745.954307,13122.807461889859,2570.6471163743113
19000262,1705176599,49477639.754345,19248.51632509714,2570.4651163078825,106280467.865185,11609.773987165152,2568.8097271866086,44876939.368721,13117.029975560612,2570.6471163743113
19000263,1705176611,49476502.184229,19248.960221162153,2570.3467416299677,106279534.223325,11610.13762269744,2568.8010479668906,44876939.368721,13117.029975560612,2570.6471163743113
19000311,1705177187,49471380.429936,19250.962574844085,2569.8133398577174,106445452.565168,11545.623338709993,2570.3426134681317,44876939.368721,13117.029975560612,2570.6471163743113
19000313,1705177211,49470332.772901,19251.371488480512,2569.7043352211385,106445452.565168,11545.623338709993,2570.3426134681317,44876939.368721,13117.029975560612,2570.6471163743113
19000360,1705177775,49459571.974452,19255.594629309413,2568.581907056164,106351937.989737,11582.058320632163,2569.472766845011,44870278.132628,13119.629125487632,2570.479885860808
19000370,1705177895,49459571.974452,19255.594629309413,2568.581907056164,106295484.037091,11604.042582891718,2568.9479243986475,44870278.132628,13119.629125487632,2570.479885860808
19000412,1705178399,49464746.29663,19253.59451181922,2569.1174843359786,106533162.706362,11511.660887368456,2571.1564420995005,44870278.132628,13119.629125487632,2570.479885860808
