bin_id,start_block,end_block,rejection_rate,tolerance,swap_count,router_txs,failed_txs
0.0,19000001,19000013,0.125,0.0017704587542399033,7,24,3
1.0,19000014,19000062,0.0963855421686747,0.0012133700241942899,34,83,8
2.0,19000067,19000113,0.08695652173913043,0.004156947758577631,17,92,8
3.0,19000115,19000162,0.16883116883116883,0.0009839302847184873,13,77,13
4.0,19000164,19000212,0.1323529411764706,0.004062653052693682,21,68,9
5.0,19000214,19000262,0.1506849315068493,0.0024384179495746923,24,73,11
6.0,19000263,19000311,0.06060606060606061,0.002859953108389468,17,99,6
7.0,19000313,19000360,0.07692307692307693,0.0029048219232214816,20,52,4
8.0,19000370,19000412,0.038461538461538464,0.00477610735416297,17,52,2
9.0,19000414,19000461,0.13253012048192772,0.004674518596684381,42,83,11
10.0,19000462,19000511,0.07971014492753623,0.0029391759315221056,41,138,11
11.0,19000512,19000561,0.13953488372093023,0.0007476682203724993,25,43,6
12.0,19000562,19000611,0.13157894736842105,0.001946159214734366,23,76,10
13.0,19000612,19000661,0.16176470588235295,0.0010480456968181002,22,68,11
14.0,19000662,19000711,0.06097560975609756,0.0018302575118861247,22,82,5
15.0,19000712,19000761,0.11764705882352941,0.001795950491829404,33,68,8
16.0,19000763,19000811,0.05357142857142857,0.0030490363117734068,28,56,3
17.0,19000812,19000859,0.08823529411764706,0.0037377148296999572,29,68,6
18.0,19000863,19000911,0.011904761904761904,0.005434370780439511,21,84,1
19.0,19000913,19000961,0.07792207792207792,0.002891873022870813,15,77,6
20.0,19000962,19001009,0.07692307692307693,0.0014475918312681637,32,39,3
21.0,19001010,19001056,0.13333333333333333,0.0029318992407966096,11,30,4
22.0,19001060,19001108,0.1686746987951807,0.0019005504722440047,34,83,14
23.0,19001111,19001159,0.17307692307692307,0.0028410839521290513,21,104,18
24.0,19001161,19001208,0.08955223880597014,0.0011848442997719104,38,67,6
25.0,19001211,19001259,0.038461538461538464,0.004927909561730221,23,52,2
26.0,19001262,19001309,0.08163265306122448,0.0010429673651311806,13,49,4
27.0,19001311,19001358,0.020689655172413793,0.00606390511410072,28,145,3
28.0,19001359,19001406,0.09523809523809523,0.0025745270814775257,29,63,6
29.0,19001408,19001456,0.05172413793103448,0.00301375676063435,19,58,3
30.0,19001457,19001504,0.13043478260869565,0.0012852290959293722,31,46,6
31.0,19001507,19001555,0.11764705882352941,0.0014018300525493132,28,68,8
32.0,19001556,19001605,0.13095238095238096,0.001644504659157141,23,84,11
33.0,19001609,19001655,0.06349206349206349,0.0019082410746872687,18,63,4
34.0,19001657,19001704,0.08196721311475409,0.0012274932710182272,28,61,5
35.0,19001706,19001753,0.1864406779661017,0.001625274851700828,18,59,11
36.0,19001754,19001802,0.020833333333333332,0.0024701946528328544,14,48,1
37.0,19001804,19001851,0.08163265306122448,0.0027805106051317454,12,49,4
38.0,19001854,19001900,0.1111111111111111,0.003407568632338978,21,72,8
39.0,19001903,19001952,0.0,0.0027061378076646825,11,49,0
40.0,19001953,19002001,0.125,0.0017306595772862195,6,80,10
41.0,19002002,19002051,0.20930232558139536,0.0009983265096882162,17,86,18
42.0,19002055,19002101,0.041666666666666664,0.005970372086264773,19,72,3
43.0,19002102,19002149,0.140625,0.0002737950128693918,14,64,9
44.0,19002152,19002201,0.15151515151515152,0.0010172744314568063,19,66,10
45.0,19002203,19002249,0.12244897959183673,0.0005191673957636114,15,98,12
46.0,19002253,19002300,0.12727272727272726,0.001741781150592993,19,55,7
47.0,19002303,19002349,0.14285714285714285,0.0011084504381722118,11,63,9
48.0,19002352,19002401,0.24096385542168675,0.0010003527315481716,14,83,20
49.0,19002402,19002447,0.1794871794871795,0.0003535420061097029,16,78,14
50.0,19002451,19002500,0.1485148514851485,0.0010009234262352376,12,101,15
51.0,19002501,19002550,0.017857142857142856,0.0019311542450263116,18,112,2
52.0,19002551,19002599,0.10526315789473684,0.00099898990061749,16,57,6
53.0,19002601,19002647,0.06153846153846154,0.0012238693384767812,13,65,4
54.0,19002651,19002698,0.14285714285714285,0.0021187257940804274,22,63,9
55.0,19002700,19002749,0.08602150537634409,0.002688315313532611,17,93,8
56.0,19002750,19002799,0.056074766355140186,0.0013556199840572144,26,107,6
57.0,19002800,19002847,0.04,0.0023951438612943602,19,75,3
58.0,19002855,19002899,0.0975609756097561,0.0008653545085553951,5,82,8
59.0,19002902,19002948,0.11940298507462686,0.006030205211356846,9,67,8
60.0,19002949,19002997,0.08163265306122448,0.0009865894700709066,10,49,4
62.0,19003049,19003097,0.14285714285714285,0.002220650540971717,9,84,12
63.0,19003099,19003145,0.07017543859649122,0.0014489725450043934,8,57,4
64.0,19003149,19003193,0.10606060606060606,0.0010072758829266705,11,66,7
65.0,19003199,19003243,0.017241379310344827,0.0032818981799446686,25,58,1
66.0,19003247,19003295,0.1276595744680851,0.005152854475119344,6,47,6
67.0,19003299,19003344,0.030303030303030304,0.0056338871100407835,9,33,1
71.0,19003495,19003543,0.0,0.0018597832252927435,5,32,0
73.0,19003595,19003634,0.02702702702702703,3.1738303933574848e-06,9,37,1
75.0,19003697,19003743,0.175,0.001195770595617812,5,40,7
76.0,19003745,19003792,0.10810810810810811,0.0012198269257795327,7,37,4
79.0,19003892,19003939,0.047619047619047616,0.00601519238455328,7,42,2
82.0,19004041,19004087,0.075,0.005021110173708007,6,40,3
83.0,19004091,19004137,0.05263157894736842,0.005559435891066086,6,38,2
84.0,19004140,19004188,0.09090909090909091,0.0014673971149419798,7,44,4
85.0,19004192,19004238,0.046511627906976744,0.0021438700973274924,8,43,2
86.0,19004244,19004287,0.047619047619047616,0.0026506817767946184,7,42,2
87.0,19004292,19004335,0.2876712328767123,0.0011212798863753418,5,73,21
88.0,19004340,19004389,0.08955223880597014,0.003542557520796329,6,67,6
91.0,19004489,19004537,0.07692307692307693,0.0022196460038465676,8,65,5
92.0,19004539,19004586,0.031746031746031744,-3.7861390827813127e-06,5,63,2
94.0,19004637,19004686,0.07142857142857142,0.0060382124521866296,5,42,3
95.0,19004691,19004736,0.04878048780487805,0.0009412557465480001,12,41,2
97.0,19004786,19004831,0.075,0.0020239215211588914,6,40,3
98.0,19004837,19004884,0.16666666666666666,0.0033865613339896816,5,42,7
99.0,19004887,19004935,0.16666666666666666,1.9886892120698596e-05,8,66,11
100.0,19004936,19004984,0.06666666666666667,0.0006960498566704395,7,30,2
101.0,19004987,19005035,0.03125,0.005954407419648937,22,32,1
104.0,19005141,19005183,0.037037037037037035,0.0037977230023650984,5,27,1
107.0,19005285,19005333,0.3333333333333333,0.0018993104049652332,7,72,24
108.0,19005334,19005381,0.13559322033898305,0.0012301663067168765,6,59,8
109.0,19005383,19005430,0.2,0.0007544328455020014,5,55,11
111.0,19005487,19005526,0.23809523809523808,0.0012894937047527532,11,21,5
112.0,19005532,19005579,0.06666666666666667,0.0032080369154347662,5,30,2
113.0,19005581,19005629,0.06818181818181818,0.0054084356181530735,10,44,3
114.0,19005633,19005679,0.125,0.00395303818456908,8,32,4
115.0,19005680,19005728,0.041666666666666664,0.0014325519568239822,9,48,2
116.0,19005730,19005778,0.06976744186046512,0.003755478958734145,8,43,3
117.0,19005780,19005829,0.20634920634920634,0.0008270200512204651,9,63,13
118.0,19005830,19005876,0.0975609756097561,-0.0004807157531449251,6,41,4
