bin_id,start_block,end_block,rejection_rate,tolerance,swap_count,router_txs,failed_txs
0.0,19230000,19230017,0.23529411764705882,0.0009981864257024105,18,34,8
1.0,19230018,19230065,0.12048192771084337,0.0003088516541818596,45,83,10
2.0,19230068,19230117,0.1724137931034483,0.0010356019932101072,58,87,15
3.0,19230118,19230166,0.13114754098360656,0.0009922570474564401,34,122,16
4.0,19230167,19230216,0.06474820143884892,0.0027855677390393463,38,139,9
5.0,19230217,19230264,0.028469750889679714,0.006039057721551468,37,281,8
6.0,19230268,19230315,0.010526315789473684,0.005919479562209186,46,95,1
7.0,19230316,19230363,0.046153846153846156,0.00443601046208273,20,130,6
8.0,19230367,19230412,0.03278688524590164,0.003874403721225267,34,61,2
9.0,19230413,19230462,0.189873417721519,0.0028417373168057505,44,79,15
10.0,19230463,19230510,0.18604651162790697,0.0010682144469265735,33,86,16
11.0,19230514,19230560,0.06172839506172839,0.0029744940247951055,37,81,5
12.0,19230562,19230609,0.10638297872340426,0.0009750751279614475,26,94,10
13.0,19230613,19230659,0.0967741935483871,0.0013565418617252055,39,62,6
14.0,19230660,19230708,0.07462686567164178,0.0010035364177278811,41,67,5
15.0,19230709,19230755,0.04285714285714286,0.003070429239571533,27,70,3
16.0,19230757,19230806,0.07272727272727272,0.005264773500723553,36,110,8
17.0,19230808,19230856,0.08421052631578947,0.0014333677629264506,35,95,8
18.0,19230857,19230904,0.05084745762711865,0.0009992470961322155,42,59,3
19.0,19230907,19230956,0.1559633027522936,0.0011010178911394271,29,109,17
20.0,19230957,19231003,0.07575757575757576,0.001532378600258716,20,66,5
21.0,19231008,19231056,0.056818181818181816,0.0032445993073835647,26,88,5
22.0,19231058,19231106,0.1375,0.001444221408764817,34,80,11
23.0,19231108,19231156,0.03825136612021858,0.003580262105565277,12,183,7
24.0,19231157,19231204,0.017857142857142856,0.0049086011231755395,24,56,1
25.0,19231209,19231251,0.0,0.006024317288562185,26,58,0
26.0,19231255,19231303,0.057692307692307696,0.0009985198092287019,20,156,9
27.0,19231304,19231353,0.014705882352941176,0.0010307424007156396,26,68,1
28.0,19231354,19231401,0.125,0.0006842362635041709,37,56,7
29.0,19231403,19231452,0.13114754098360656,0.001310189517401146,40,61,8
30.0,19231454,19231502,0.07017543859649122,0.0011241300300933923,20,57,4
31.0,19231503,19231551,0.06666666666666667,0.003620630413435469,35,45,3
32.0,19231552,19231600,0.04,0.00331802858295107,12,50,2
33.0,19231608,19231648,0.03333333333333333,0.0006203896659704678,8,30,1
34.0,19231650,19231698,0.0,0.004380548086018282,27,62,0
35.0,19231702,19231747,0.047619047619047616,0.0026522693178086896,12,42,2
36.0,19231750,19231799,0.07142857142857142,0.0032813098951591955,21,56,4
37.0,19231801,19231849,0.1836734693877551,0.004529336322099164,10,49,9
38.0,19231851,19231897,0.0,0.0038496809807684017,16,72,0
39.0,19231899,19231948,0.05194805194805195,0.0017264983536607022,39,77,4
40.0,19231949,19231998,0.044444444444444446,0.0013933686288567604,21,90,4
41.0,19232000,19232047,0.06493506493506493,0.0034165919929172025,22,77,5
42.0,19232049,19232095,0.0641025641025641,0.001973528408519591,17,78,5
43.0,19232098,19232145,0.08108108108108109,0.0016635351640224985,23,74,6
44.0,19232149,19232196,0.05970149253731343,0.005037029332534526,10,67,4
45.0,19232197,19232245,0.12857142857142856,0.002283801711538227,20,70,9
