block,router_txs,failed_txs,rejection_rate
19230000,1,0,0.0
19230001,2,2,1.0
19230002,4,2,0.5
19230003,1,0,0.0
19230004,6,1,0.16666666666666666
19230005,3,2,0.6666666666666666
19230006,0,0,0.0
19230007,2,0,0.0
19230008,2,1,0.5
19230009,0,0,0.0
19230010,1,0,0.0
19230011,4,0,0.0
19230012,0,0,0.0
19230013,1,0,0.0
19230014,1,0,0.0
19230015,2,0,0.0
19230016,3,0,0.0
19230017,1,0,0.0
19230018,1,0,0.0
19230019,1,1,1.0
19230020,2,0,0.0
19230021,0,0,0.0
19230022,1,0,0.0
19230023,1,0,0.0
19230024,2,0,0.0
19230025,0,0,0.0
19230026,1,0,0.0
19230027,0,0,0.0
19230028,2,0,0.0
19230029,0,0,0.0
19230030,4,0,0.0
19230031,1,0,0.0
19230032,3,1,0.3333333333333333
19230033,0,0,0.0
19230034,2,0,0.0
19230035,1,0,0.0
19230036,1,0,0.0
19230037,2,0,0.0
19230038,3,1,0.3333333333333333
19230039,3,2,0.6666666666666666
19230040,1,0,0.0
19230041,2,0,0.0
19230042,3,0,0.0
19230043,4,0,0.0
19230044,0,0,0.0
19230045,1,0,0.0
19230046,2,0,0.0
19230047,0,0,0.0
19230048,3,0,0.0
19230049,0,0,0.0
19230050,1,0,0.0
19230051,4,0,0.0
19230052,2,0,0.0
19230053,3,0,0.0
19230054,1,0,0.0
19230055,2,1,0.5
19230056,1,0,0.0
19230057,0,0,0.0
19230058,2,0,0.0
19230059,0,0,0.0
19230060,4,2,0.5
19230061,2,0,0.0
19230062,3,1,0.3333333333333333
19230063,3,1,0.3333333333333333
19230064,6,0,0.0
19230065,2,0,0.0
19230066,3,0,0.0
19230067,5,0,0.0
19230068,2,1,0.5
19230069,2,1,0.5
19230070,5,2,0.4
19230071,3,1,0.3333333333333333
19230072,0,0,0.0
19230073,3,0,0.0
19230074,1,1,1.0
19230075,0,0,0.0
19230076,2,0,0.0
19230077,2,0,0.0
19230078,3,0,0.0
19230079,4,0,0.0
19230080,1,0,0.0
19230081,2,1,0.5
19230082,1,0,0.0
19230083,2,0,0.0
19230084,1,0,0.0
19230085,1,0,0.0
19230086,2,0,0.0
19230087,2,0,0.0
19230088,1,0,0.0
19230089,2,1,0.5
19230090,1,0,0.0
19230091,2,0,0.0
19230092,0,0,0.0
19230093,0,0,0.0
19230094,0,0,0.0
19230095,1,0,0.0
19230096,1,0,0.0
19230097,0,0,0.0
19230098,1,0,0.0
19230099,2,0,0.0
19230100,2,0,0.0
19230101,2,1,0.5
19230102,5,2,0.4
19230103,3,1,0.3333333333333333
19230104,4,1,0.25
19230105,3,1,0.3333333333333333
19230106,1,0,0.0
19230107,3,0,0.0
19230108,3,0,0.0
19230109,1,0,0.0
19230110,0,0,0.0
19230111,0,0,0.0
19230112,3,0,0.0
19230113,3,0,0.0
19230114,1,0,0.0
19230115,0,0,0.0
19230116,1,0,0.0
19230117,2,1,0.5
19230118,1,0,0.0
19230119,3,0,0.0
19230120,3,0,0.0
19230121,1,0,0.0
19230122,3,1,0.3333333333333333
19230123,3,1,0.3333333333333333
19230124,2,0,0.0
19230125,0,0,0.0
19230126,0,0,0.0
19230127,2,0,0.0
19230128,0,0,0.0
19230129,2,0,0.0
19230130,2,0,0.0
19230131,2,0,0.0
19230132,0,0,0.0
19230133,3,0,0.0
19230134,2,0,0.0
19230135,1,0,0.0
19230136,7,1,0.14285714285714285
19230137,2,0,0.0
19230138,7,0,0.0
19230139,1,0,0.0
19230140,2,0,0.0
19230141,4,0,0.0
19230142,4,1,0.25
19230143,0,0,0.0
19230144,1,0,0.0
19230145,6,0,0.0
19230146,0,0,0.0
19230147,2,1,0.5
19230148,4,2,0.5
19230149,1,0,0.0
19230150,6,1,0.16666666666666666
19230151,2,1,0.5
19230152,3,0,0.0
19230153,5,1,0.2
19230154,2,1,0.5
19230155,0,0,0.0
19230156,3,0,0.0
19230157,0,0,0.0
19230158,3,0,0.0
19230159,1,0,0.0
19230160,4,0,0.0
19230161,5,0,0.0
19230162,2,1,0.5
19230163,2,0,0.0
19230164,4,1,0.25
19230165,5,1,0.2
19230166,4,2,0.5
19230167,7,0,0.0
19230168,1,0,0.0
19230169,1,0,0.0
19230170,9,0,0.0
19230171,3,0,0.0
19230172,0,0,0.0
19230173,1,0,0.0
19230174,8,1,0.125
19230175,5,1,0.2
19230176,1,0,0.0
19230177,11,0,0.0
19230178,2,0,0.0
19230179,19,0,0.0
19230180,3,0,0.0
19230181,4,1,0.25
19230182,1,0,0.0
19230183,0,0,0.0
19230184,0,0,0.0
19230185,6,3,0.5
19230186,1,1,1.0
19230187,1,0,0.0
19230188,1,0,0.0
19230189,1,0,0.0
19230190,0,0,0.0
19230191,1,0,0.0
