block,timestamp,v2_usdc,v2_eth,price_v2,v3_005_usdc,v3_005_eth,price_v3_005,v3_03_usdc,v3_03_eth,price_v3_03
19230000,1707959795,54776622.113538,19515.448798392685,2806.8338412001813,112587991.887401,7199.805382779624,2804.3882423708183,35291131.592148,7598.009119014186,2808.916635760644
19230017,1707959999,54784110.549094,19512.79035323659,2807.6000181084787,112216390.199224,7332.64434728858,2803.0186823197864,35249821.815362,7612.763936808445,2807.4293001200776
19230018,1707960011,54784110.549094,19512.79035323659,2807.6000181084787,112359358.949224,7281.669354935531,2803.544836691955,35249821.815362,7612.763936808445,2807.4293001200776
19230065,1707960575,54705512.414148,19540.925552235603,2799.535378603873,110617950.430185,7902.967777666136,2792.2138841105498,34984206.194449,7707.820426182721,2797.980143568382
19230068,1707960611,54705357.499342,19540.981054798664,2799.5194993502155,110625645.840915,7900.213363248157,2792.3249868239373,34984206.194449,7707.820426182721,2797.980143568382
19230117,1707961199,54565633.052687,19591.218599617216,2785.208728861467,110022383.222866,8117.103456456975,2783.7739396281345,34582483.415967,7852.192789689421,2784.0426593994516
19230118,1707961211,54565633.052687,19591.218599617216,2785.208728861467,109809893.152243,8193.655182065788,2781.0762989887544,34582483.415967,7852.192789689421,2784.0426593994516
19230166,1707961799,54548081.290225,19597.554232610142,2783.4126974608657,109668221.69949,8244.868064440196,2779.254551121059,34531222.423922,7870.666369914178,2782.3109787788458
19230167,1707961811,54548081.290225,19597.554232610142,2783.4126974608657,109665295.285017,8245.921549252413,2779.208899944418,34531222.423922,7870.666369914178,2782.3109787788458
19230216,1707962399,54530479.024038,19603.931801911913,2781.6093003710516,109828261.525259,8187.9459788837385,2781.29155579236,34531222.423922,7870.666369914178,2782.3109787788458
19230217,1707962411,54530152.726433,19604.04946092411,2781.5759613913215,109828261.525259,8187.9459788837385,2781.29155579236,34531222.423922,7870.666369914178,2782.3109787788458
19230264,1707962975,54600956.368865,19578.72995670292,2788.7894919441374,110412988.292897,7956.186657157679,2790.0880491314633,34642773.265819,7830.720741006072,2786.0687281007704
19230268,1707963035,54579627.812647,19586.40392981164,2786.6078943452017,110245306.057664,8016.342098573432,2787.6661932784136,34642773.265819,7830.720741006072,2786.0687281007704
19230315,1707963599,54600951.327763,19578.79324950418,2788.780219084531,110899120.030145,7782.585922067904,2797.1199605292245,34757151.565615,7789.818541018838,2789.9243574754087
19230316,1707963611,54600951.327763,19578.79324950418,2788.780219084531,110898086.536346,7782.955592869469,2797.1049571121025,34758651.565615,7789.282509839598,2789.974939358799
19230363,1707964199,54604509.119002,19577.525573605886,2789.1425253771063,110500325.261512,7925.440701787203,2791.338830366213,34759312.773591,7788.660690362369,2790.0172598868717
19230367,1707964247,54604509.119002,19577.525573605886,2789.1425253771063,110506403.063873,7923.265851209346,2791.4266189131267,34759312.773591,7788.660690362369,2790.0172598868717
19230412,1707964799,54615229.147378,19573.705594522227,2790.2345257845436,110892731.198832,7784.0525020010045,2797.0654389959514,34754860.968905,7789.1937568467865,2789.9664609031047
19230413,1707964811,54620185.397378,19571.934799211966,2790.7402082484555,110874810.388469,7790.463009554271,2796.8052875742756,34754860.968905,7789.1937568467865,2789.9664609031047
19230462,1707965399,54638843.487961,19565.304466296642,2792.63957185447,110750538.933428,7835.776642541144,2794.9825407120647,34758721.785183,7787.818560529146,2790.0964468501606
19230463,1707965411,54643839.732874,19563.520919954328,2793.149554032402,110751078.525832,7835.583681818107,2794.9903668830693,34758721.785183,7787.818560529146,2790.0964468501606
19230510,1707965975,54658789.12526,19558.203909197546,2794.673241930762,110292997.553798,7991.929210830259,2788.6602883749424,34761719.976245,7786.747220385511,2790.1975545447654
19230514,1707966023,54661380.072891,19557.279632013986,2794.937798169736,110292997.553798,7991.929210830259,2788.6602883749424,34761719.976245,7786.747220385511,2790.1975545447654
19230560,1707966587,54668379.198201,19554.79851347857,2795.6503443653296,110643419.314235,7865.822173087324,2793.7520923335665,34761719.976245,7786.747220385511,2790.1975545447654
19230562,1707966611,54668379.198201,19554.79851347857,2795.6503443653296,110644919.314235,7865.285531284163,2793.773855824435,34761719.976245,7786.747220385511,2790.1975545447654
19230609,1707967175,54712901.099699,19538.991436509597,2800.1906484008773,110626318.832341,7872.008895695241,2793.502598391062,34759923.583676,7787.39298741371,2790.1367924742017
19230613,1707967223,54712166.920597,19539.254417942506,2800.11538569025,110628803.740533,7871.1198148288295,2793.5386503450836,34759923.583676,7787.39298741371,2790.1367924742017
19230659,1707967799,54706363.718446,19541.34244988322,2799.519217205721,111098284.677383,7703.4591668084295,2799.316233274908,34830610.778851,7762.15144618777,2792.61639071162
19230660,1707967811,54706044.135079,19541.456950570588,2799.4864596563075,111098284.677383,7703.4591668084295,2799.316233274908,34830610.778851,7762.15144618777,2792.61639071162
19230708,1707968399,54706587.39205,19541.284294268753,2799.538994890671,110954058.029778,7753.671155928294,2798.3597659063953,34830610.778851,7762.15144618777,2792.61639071162
19230709,1707968411,54706628.468046,19541.269665882643,2799.5431926083606,110868642.688294,7753.538132591627,2798.3597659063953,34830610.778851,7762.15144618777,2792.61639071162
19230755,1707968987,54708656.416272,19540.553773166248,2799.749538899956,111699929.536153,7489.578808754196,2801.5842945083705,34887892.228272,7740.206510424524,2794.793745798425
19230757,1707969011,54709156.416272,19540.375723147547,2799.8006379920057,111699173.486967,7489.848808754196,2801.5816316265914,34887892.228272,7740.206510424524,2794.793745798425
19230806,1707969599,54715634.559537,19538.092245613196,2800.4594241703444,112569088.528359,7179.091390970691,2804.8584285571947,34946808.588366,7719.196841332881,2796.880720468734
19230808,1707969623,54716689.140621,19537.71680823746,2800.5672145658004,112575765.089206,7183.091390970238,2804.8584285571947,34946808.588366,7719.196841332881,2796.880720468734
19230856,1707970199,54732890.805646,19531.96154270679,2802.221921539836,110695154.844285,7854.873359518316,2795.5765793964624,34946909.035234,7719.161035206952,2796.884279229913
19230857,1707970211,54732890.805646,19531.96154270679,2802.221921539836,110681184.446005,7859.873359518317,2795.3782137817852,34946909.035234,7719.161035206952,2796.884279229913
19230904,1707970775,54727668.429074,19533.915536832676,2801.674263712303,110644068.703378,7874.421066610691,2794.8076724287116,34946909.035234,7719.161035206952,2796.884279229913
19230907,1707970811,54728259.932015,19533.705047667267,2801.7347348321255,110718385.2842,7847.848428845895,2795.8622874051284,34946909.035234,7719.161035206952,2796.884279229913
19230956,1707971399,54721919.515925,19535.97988327457,2801.0839406511845,110910575.3791,7779.236424191628,2798.5893370725053,34942302.888527,7720.812924044576,2796.720598015588
19230957,1707971411,54721919.515925,19535.97988327457,2801.0839406511845,110909390.19333,7779.660131311485,2798.5725001058695,34942302.888527,7720.812924044576,2796.720598015588
19231003,1707971963,54673655.653219,19553.279482569797,2796.1373795099817,110673024.676924,7864.412981116605,2795.2116840132394,34942173.066015,7720.8594833111165,2796.715984791511
19231008,1707972023,54674147.733392,19553.10402640882,2796.1876364769496,110719209.701599,7847.900270722162,2795.8671124414177,34942173.066015,7720.8594833111165,2796.715984791511
19231056,1707972599,54678191.37356,19551.67484077464,2796.598849911808,110448204.184698,7945.730605898784,2792.0073921104545,34942173.066015,7720.8594833111165,2796.715984791511
19231058,1707972623,54678191.37356,19551.67484077464,2796.598849911808,110448785.010792,7945.5226785031755,2792.0156034637685,34942173.066015,7720.8594833111165,2796.715984791511
19231106,1707973199,54665520.937844,19556.237561767375,2795.298470126769,110924783.116224,7775.507429171074,2798.762303030321,34884661.173937,7741.4929803568175,2794.6726822800074
19231108,1707973223,54666223.966163,19555.986815646884,2795.370260856597,110919930.62549,7777.242116671075,2798.693369507885,34884661.173937,7741.4929803568175,2794.6726822800074
19231156,1707973799,54666802.440531,19555.799903660914,2795.426559375727,110464668.391744,7759.4015976590235,2792.325256248764,34884661.173937,7741.4929803568175,2794.6726822800074
19231157,1707973811,54666802.440531,19555.799903660914,2795.426559375727,110468263.391744,7758.114795632644,2792.3760831804825,34884661.173937,7741.4929803568175,2794.6726822800074
19231204,1707974399,54662917.143431,19557.21565184958,2795.025535153895,110377607.807813,6933.08119526144,2789.8648800741685,34885611.173937,7741.15406971989,2794.7063269073956
19231209,1707974471,54661567.58012,19557.699961415787,2794.88731742273,110377607.807813,6933.08119526144,2789.8648800741685,34875275.751246,7740.998312376102,2794.7063269073956
19231251,1707974975,54626238.732801,19570.392399906763,2791.2694654533984,110029171.180149,7061.952903997521,2785.4094994790703,34753024.147928,7784.908039510296,2790.37563285633
19231255,1707975023,54625626.831014,19570.612281899226,2791.20683830301,110029171.180149,7061.952903997521,2785.4094994790703,34753024.147928,7784.908039510296,2790.37563285633
19231303,1707975599,54607817.764149,19577.029437747504,2789.382216428443,109949040.075901,7090.853383409728,2784.4615393849185,34681836.033669,7810.507870040198,2787.9681604325133
