bin,liquidity_usd,opt_capital_kept,user_demand_usd,OK_user_demand_usd_inflation,opt_user_kept,uni_user_kept,opt_price,uni_price,check_price,opt_fee,uni_fee,opt_lp_surplus,opt_protocol_objective,opt_total_income,uni_total_income,opt_il_usd,uni_il_usd,opt_net_income,uni_net_income,opt_lp_return_bin,uni_lp_return_bin,uni_lp_return_bin_check,opt_log_cum_return_bin,uni_log_cum_return_bin,opt_lp_return_year,uni_lp_return_year,opt_solve_time_ms,opt_total_sweep_time_ms,check_opt_return
0,100000000,100000000.0,190258,190258.0,190060.43298050415,189643.5797234053,2000.0,2000.0318584503195,2000,0.003,0.003,190060.43298050412,380120.86596100824,570.1812989415124,569.7907826913594,0.0,0.0013870596885681152,570.1812989415124,569.7921697510479,5.701812989415124e-06,5.697921697510479e-06,5.697921697497368e-06,5.701796734037713e-06,5.69790546448415e-06,0.2996872907236589,0.2994827644211508,942.1066159848124,967.2252279997338,0.2996872907235861
1,100000000,100000000.0,190258,189658.28135573244,189201.69210130494,175367.13392128516,2006.3242020330522,2001.4202504707207,2006.3242020330522,0.003,0.003,189799.96696422694,379599.9339284539,569.3999008926809,525.5234565462758,0.0,-47.82925030589104,569.3999008926809,477.6942062403848,5.693999008926809e-06,4.769374282341571e-06,4.769374282315694e-06,1.139577953224684e-05,1.0467268373453221e-05,0.2992765879091931,0.250678312279873,938.9617169799749,963.6974739842117,0.2992765879043341
2,100000000,100000000.0,190258,188978.01373020312,188577.11223979382,122457.9116998228,2019.913441229046,2006.7983198554803,2019.913441229046,0.003,0.003,189854.38312279445,379708.7662455889,569.5631493683834,365.3594922506826,0.0,-528.2230538874865,569.5631493683834,-162.86356163680387,5.695631493683834e-06,-1.6205528446363465e-06,-1.6205528445711234e-06,1.7091394805973317e-05,8.84671421577264e-06,0.2993623913080223,-0.08517625751408638,949.0145640156697,973.3539140142966,0.29936239131292103
3,100000000,100000000.0,190258,191463.74450873138,191137.51877784255,189377.27785105782,2007.1930196885407,2006.9307030785858,2007.1930196885407,0.003,0.003,189933.82867833955,379867.6573566791,569.8014860350187,568.9103761491778,0.0,-0.22922377288341522,569.8014860350187,568.6811523762943,5.698014860350187e-06,5.6765297735875614e-06,5.676529773560191e-06,2.278939343273743e-05,1.4523227877906838e-05,0.2994876610600058,0.29835840489976223,945.6364120123908,969.9126880150288,0.29948766105748414
4,100000000,100000000.0,190258,190334.50450610172,189961.44034894268,189455.40536627933,2006.3862331785458,2006.8752862411231,2006.3862331785458,0.003,0.003,189885.08579510084,379770.1715902017,569.6552573853025,569.3767302512431,0.0,-0.2579661160707474,569.6552573853025,569.1187641351723,5.696552573853025e-06,5.68200774099876e-06,5.6820077409696965e-06,2.848592978131846e-05,2.0205219476343377e-05,0.299410803281715,0.2986463268668948,942.0592169917654,966.110478999326,0.2994108032836318
5,100000000,100000000.0,190258,190294.92595998425,189876.64092391892,188733.0697548183,2005.9969020527392,2006.924230192558,2005.9969020527392,0.003,0.003,189839.7961254855,379679.59225593804,569.5193883913577,567.3175228041351,-1.4901161193847656e-08,0.14227350056171417,569.5193883764565,567.4597963046969,5.695193883764565e-06,5.665962292502256e-06,5.6659622925499265e-06,3.418110744758902e-05,2.587116571729563e-05,0.29933939053066555,0.2978029780939186,959.658562002005,984.1388170025311,0.2993393905391336
6,100000000,100000000.0,190258,191131.74356734168,190718.576229254,159897.56988737296,1996.8266467274725,2004.0590939803735,1996.8266467274725,0.003,0.003,189846.72142354416,379693.4428470883,569.5401642706325,482.3009305507793,0.0,-155.548647031188,569.5401642706325,326.7522835195913,5.695401642706325e-06,3.2700043500060973e-06,3.2700043499455984e-06,3.987649287159751e-05,2.9141164720807555e-05,0.29935031034064447,0.17187142863632046,942.4928619991988,966.0375500097871,0.29935031034396886
7,100000000,100000000.0,190258,190832.31227386056,190366.94025920914,141888.4616482726,1990.817171506412,2000.325326975471,1990.817171506412,0.003,0.003,189794.02852835273,379588.05705670547,569.3820855850582,428.4914211476891,0.0,-266.20046547055244,569.3820855850582,162.29095567713665,5.693820855850582e-06,1.6265799437748026e-06,1.6265799437797324e-06,4.5570297517773146e-05,3.076774334177535e-05,0.2992672241835066,0.08549304184480362,945.6315650022589,969.5540169777814,0.2992672241790891
8,100000000,100000000.0,190258,191122.77026883047,190770.64390391464,122481.7731356653,1981.809351568608,1994.705364717429,1981.809351568608,0.003,0.003,189907.46690081665,379814.9337966662,569.7224006875488,370.5561795612967,1.4901161193847656e-08,-554.0902202874422,569.7224007024499,-183.53404072614552,5.697224007024499e-06,-1.843649266969394e-06,-1.8436492669003346e-06,5.126750529566043e-05,2.8924092375332575e-05,0.29944609380920767,-0.09690220547191135,943.3336969814263,967.2754829807673,0.29944609380533693
9,100000000,100000000.0,190258,190264.13531151912,189573.88829220316,141219.91616313675,1981.7454455795814,1990.880062774935,1981.7454455795814,0.003,0.003,189567.7752385861,379135.5504771722,568.7033257157583,426.41287853850946,0.0,-266.70990730822086,568.7033257157583,159.7029712302886,5.687033257157583e-06,1.6042884439417555e-06,1.6042884439882564e-06,5.6954522381754875e-05,3.052837953233153e-05,0.2989104679962026,0.08432140061357866,962.8791179857217,987.4674140010029,0.29891046799771787
10,100000000,100000000.0,190258,190408.94384819714,190182.720195201,152521.2632040045,1980.1744464570747,1988.0520146975834,1980.1744464570747,0.003,0.003,190031.95568242812,380063.9113648563,570.0958670472844,460.2244488517706,0.0,-166.60349901020527,570.0958670472844,293.62094984156533,5.700958670472844e-06,2.950717143648865e-06,2.9507171435787188e-06,6.265546480182546e-05,3.347909232270911e-05,0.2996423877200527,0.15508969307018436,943.4614229830913,967.6065690000542,0.29964238772288565
11,100000000,100000000.0,190258,191033.4534517059,190723.56186991715,133083.80811087324,1972.1364139463285,1983.1237928951962,1972.1364139463285,0.003,0.003,189949.36634708397,379898.73269416793,569.8480990412519,402.2550678884808,0.0,-420.1599552631378,569.8480990412519,-17.904887374656994,5.698480990412519e-06,-1.8029822494990646e-07,-1.8029822498574275e-07,6.835392955595693e-05,3.3298794081549876e-05,0.299512160856082,-0.009476474703367084,954.5281419996172,980.5556290084496,0.29951216086220744
12,100000000,100000000.0,190258,189426.158617072,189239.30772475185,188051.9812270662,1980.796805382635,1982.7975867352275,1980.796805382635,0.003,0.003,190070.3285752581,380140.6571505162,570.2109857257743,565.5801453096354,0.0,-4.766514405608177,570.2109857257743,560.8136309040273,5.702109857257743e-06,5.634931099591776e-06,5.6349310996390045e-06,7.405602315616555e-05,3.893370930489268e-05,0.299702894097467,0.29617197859454375,954.7530239797197,978.5077050037216,0.2997028941023469
13,100000000,100000000.0,190258,191676.49576820218,191107.83369671664,126389.24753192774,1966.1379820624218,1977.7189035928272,1966.1379820624218,0.003,0.003,189693.5462939622,379387.0925879244,569.0806388818866,382.13449448745314,0.0,-456.2400697171688,569.0806388818866,-74.10557522971567,5.690806388818865e-06,-7.473562009209982e-07,-7.47356200961159e-07,7.974681335238003e-05,3.818635282469664e-05,0.29910878379631956,-0.03928104192040766,947.5761869980488,971.4890420145821,0.29910878379821776
14,100000000,100000000.0,190258,190133.55759587116,189851.05188990684,155346.2966651467,1967.4248192753294,1974.8861066332151,1967.4248192753294,0.003,0.003,189975.309394065,379950.61878813,569.925928182195,468.6455283227738,0.0,-161.04994340240955,569.925928182195,307.5955849203643,5.6992592818219495e-06,3.101098059314615e-06,3.1010980592513415e-06,8.544605639350744e-05,4.128744607553475e-05,0.29955306785256164,0.16299371399757615,945.3949900052976,969.4077119929716,0.2995530678490162
15,100000000,100000000.0,190258,190554.71097088364,190057.14001629676,155335.34370242181,1964.3613603595486,1972.1356874348014,1964.3613603595486,0.003,0.003,189761.20380852587,379522.40761705174,569.2836114255776,468.6901907081738,0.0,-161.53206722438335,569.2836114255776,307.15812348379046,5.692836114255776e-06,3.099086297455878e-06,3.0990862974004156e-06,9.113887630366793e-05,4.438652757074128e-05,0.2992154661652836,0.16288797579428094,930.0705840287264,954.2467000137549,0.29921546616067884
