bin,liquidity_usd,opt_capital_kept,uni_volume_ether,opt_user_kept_ether,uni_volume_usd,opt_user_kept,opt_price,uni_price,opt_fee,opt_lp_return_bin,uni_lp_return_bin,opt_log_cum_return,uni_log_cum_return,opt_total_income,opt_il_usd,opt_net_income,opt_lp_surplus_volume,opt_protocol_objective,opt_lp_return_year,check_opt_return,opt_solve_time_ms,opt_total_sweep_time_ms
19230000,298967374.22606266,104453917.39773595,741.5474167174024,741.5474167174024,2078031.9259619995,2075953.8940360376,2799.489078157178,2802.291369526705,0.0001,1.9874351730929282e-06,-9.271095909030197e-06,0.0,0.0,207.59538940360378,0.0,207.59538940360378,2075953.8940360376,4151907.788072075,0.10445959269776431,0.10445959269391412,76.26585298567079,5422.853261989076
19230018,298995013.0423899,157668276.52836978,1037.0408874971345,1037.0408874971345,2901004.1246370003,2895202.1163877263,2791.7916750372356,2797.386447933102,0.0001,1.8362616628632856e-06,-0.0011176126113743856,1.8362599770199867e-06,-0.0011182376060602391,289.52021163877265,0.0,289.52021163877265,2895202.1163877263,5790404.232775453,0.09651391300009429,0.09651391299951007,360.4190220066812,22350.494309997885
19230068,298715561.9740768,185133470.35230756,1277.5420085973276,1277.5420085973276,3555144.7318680002,3548034.4424042646,2777.2350486539503,2782.800649953858,0.0001,1.916473793556823e-06,-0.0016469132172880518,3.752731934248098e-06,-0.0027665084757494732,354.8034442404265,0.0,354.8034442404265,3548034.4424042646,7096068.884808529,0.10072986258934662,0.10072986258823668,367.8706029895693,25482.391281984746
19230118,298214678.50650066,225641371.53878668,631.7323520549055,631.7323520549055,1756192.0964330002,1752679.7122401341,2774.4023343730923,2779.962258890874,0.00025,1.9418864770759216e-06,-0.00022323242715257925,5.694616525963742e-06,-0.002989765822969062,438.16992806003356,0.0,438.16992806003356,1752679.7122401341,3505359.4244802683,0.10206555323511043,0.10206555323139443,153.91508099855855,17082.63807298499
19230167,298151795.7433417,198000885.32507664,1371.3648567954276,1371.3648567954276,3803815.5448339996,3796207.913744332,2768.1968769530954,2773.7443656844644,0.0001,1.9172681512073634e-06,-7.905760353531714e-05,7.6118828391378665e-06,-0.0030688265517214426,379.6207913744332,-2.9802322387695312e-08,379.6207913446309,3796207.913446309,7592415.827190641,0.10077161402745902,0.10077161402777858,226.72189900185913,8191.1261130007915
19230217,298088039.4847651,80390242.52323127,506.4700804273676,506.4700804273676,1412364.3778610001,1412364.3778610001,2788.6432633280615,2788.6432633280615,0.0001,1.756885330272332e-06,0.0006752469511046267,9.368766626145114e-06,-0.002393807477263036,141.23643778610003,0.0,141.23643778610003,1412364.3778610001,2824728.7557220003,0.09234189295911377,0.09234189295685499,375.83534698933363,7592.918390000705
19230268,298206885.35973376,298206885.35973376,893.03083020767,893.03083020767,2490550.094856,2493040.6449508555,2791.662460713827,2788.8735871267004,0.0005,4.180052117278669e-06,0.0004898110295293593,1.3548810007082353e-05,-0.0019041163659994907,1246.5203224754277,5.960464477539063e-08,1246.5203225350324,2493040.645070065,4986081.29002092,0.2197035392841668,0.21970353927828473,8.300462999613956,5869.924507976975
19230316,298286190.3451965,52295040.86277953,312.7455677642971,312.0501727862294,873714.2835220001,873515.1083931728,2799.277759065931,2793.690378309313,0.0001,1.6703593571812055e-06,-0.00010228611285260133,1.5219167969309046e-05,-0.002006407710433248,87.35151083931729,0.0,87.35151083931729,873515.1083931728,1747030.2167863457,0.08779408781344417,0.0877940878117927,294.1019680001773,8015.574823017232
19230367,298297536.54816693,63339382.20084771,370.65032328708,370.65032328708,1035832.897608,1033761.231812784,2789.04716079825,2794.636433665581,0.0001,1.6320986973550693e-06,0.00018701469743080104,1.6851265334739157e-05,-0.0018194104980710677,103.3761231812784,0.0,103.3761231812784,1033761.231812784,2067522.463625568,0.08578310753298245,0.08578310754015848,399.53577498090453,12182.518098008586
19230413,298348816.72083557,51764827.55809535,301.5275185576531,301.52751855765314,842920.9499690002,840392.1871190933,2787.1160520906396,2795.5025597699496,0.0001,1.6234810908544538e-06,0.0001127077686959396,1.8474745107790652e-05,-0.001706709080418441,84.03921871190933,0.0,84.03921871190933,840392.1871190933,1680784.3742381865,0.0853301661353101,0.08533016613979194,604.2103779909667,23497.729128983337
